symbol,refseq,tag,ensembl_id,gene_id
OR4F5,NM_001005484.2,MANE Select,ENST00000641515.2,79501
OR4F29,NM_001005221.2,MANE Select,ENST00000426406.4,729759
OR4F16,NM_001005277.1,MANE Select,ENST00000332831.5,81399
SAMD11,NM_001385641.1,MANE Select,ENST00000616016.5,148398
NOC2L,NM_015658.4,MANE Select,ENST00000327044.7,26155
KLHL17,NM_198317.3,MANE Select,ENST00000338591.8,339451
PLEKHN1,NM_032129.3,MANE Select,ENST00000379410.8,84069
PERM1,NM_001394713.1,MANE Select,ENST00000433179.4,84808
HES4,NM_021170.4,MANE Select,ENST00000304952.11,57801
ISG15,NM_005101.4,MANE Select,ENST00000649529.1,9636
AGRN,NM_198576.4,MANE Select,ENST00000379370.7,375790
RNF223,NM_001205252.2,MANE Select,ENST00000453464.3,401934
C1orf159,NM_017891.5,MANE Select,ENST00000421241.7,54991
TTLL10,NM_001130045.2,MANE Select,ENST00000379289.6,254173
TNFRSF18,NM_004195.3,MANE Select,ENST00000379268.7,8784
TNFRSF4,NM_003327.4,MANE Select,ENST00000379236.4,7293
SDF4,NM_016176.6,MANE Select,ENST00000360001.12,51150
B3GALT6,NM_080605.4,MANE Select,ENST00000379198.5,126792
C1QTNF12,NM_001014980.3,MANE Select,ENST00000330388.2,388581
UBE2J2,NM_058167.3,MANE Select,ENST00000349431.11,118424
SCNN1D,NM_001130413.4,MANE Select,ENST00000379116.10,6339
ACAP3,NM_030649.3,MANE Select,ENST00000354700.10,116983
PUSL1,NM_153339.3,MANE Select,ENST00000379031.10,126789
INTS11,NM_017871.6,MANE Select,ENST00000435064.6,54973
CPTP,NM_001029885.2,MANE Select,ENST00000343938.9,80772
TAS1R3,NM_152228.3,MANE Select,ENST00000339381.6,83756
DVL1,NM_001330311.2,MANE Select,ENST00000378888.10,1855
MXRA8,NM_032348.4,MANE Select,ENST00000309212.11,54587
AURKAIP1,NM_017900.3,MANE Select,ENST00000338338.10,54998
CCNL2,NM_030937.6,MANE Select,ENST00000400809.8,81669
MRPL20,NM_017971.4,MANE Select,ENST00000344843.12,55052
ANKRD65,NM_001145210.3,MANE Select,ENST00000537107.6,441869
TMEM88B,NM_001146685.2,MANE Select,ENST00000378821.4,643965
VWA1,NM_022834.5,MANE Select,ENST00000476993.2,64856
ATAD3C,NM_001039211.3,MANE Select,ENST00000378785.7,219293
ATAD3B,NM_031921.6,MANE Select,ENST00000673477.1,83858
ATAD3A,NM_001170535.3,MANE Select,ENST00000378756.8,55210
TMEM240,NM_001114748.2,MANE Select,ENST00000378733.9,339453
SSU72,NM_014188.3,MANE Select,ENST00000291386.4,29101
FNDC10,NM_001242659.2,MANE Select,ENST00000422725.4,643988
MIB2,NM_001170687.4,MANE Select,ENST00000355826.10,142678
MMP23B,NM_006983.2,MANE Select,ENST00000356026.10,8510
CDK11B,NM_033486.3,MANE Select,ENST00000341832.11,984
SLC35E2B,NM_001290264.2,MANE Select,ENST00000617444.5,728661
CDK11A,NM_024011.4,MANE Select,ENST00000404249.8,728642
NADK,NM_023018.5,MANE Select,ENST00000341426.9,65220
GNB1,NM_002074.5,MANE Select,ENST00000378609.9,2782
CALML6,NM_138705.4,MANE Select,ENST00000307786.8,163688
TMEM52,NM_178545.4,MANE Select,ENST00000310991.8,339456
CFAP74,NM_001304360.2,MANE Select,ENST00000682832.2,85452
GABRD,NM_000815.5,MANE Select,ENST00000378585.7,2563
PRKCZ,NM_002744.6,MANE Select,ENST00000378567.8,5590
FAAP20,NM_182533.4,MANE Select,ENST00000378546.9,199990
SKI,NM_003036.4,MANE Select,ENST00000378536.5,6497
MORN1,NM_024848.3,MANE Select,ENST00000378531.8,79906
RER1,NM_007033.5,MANE Select,ENST00000605895.6,11079
PEX10,NM_002617.4,MANE Select,ENST00000447513.7,5192
PLCH2,NM_014638.4,MANE Select,ENST00000378486.8,9651
PANK4,NM_018216.4,MANE Select,ENST00000378466.9,55229
HES5,NM_001010926.4,MANE Select,ENST00000378453.4,388585
TNFRSF14,NM_003820.4,MANE Select,ENST00000355716.5,8764
PRXL2B,NM_152371.5,MANE Select,ENST00000419916.8,127281
MMEL1,NM_033467.4,MANE Select,ENST00000378412.8,79258
TTC34,NM_001242672.3,MANE Select,ENST00000401095.9,100287898
ACTRT2,NM_080431.5,MANE Select,ENST00000378404.4,140625
PRDM16,NM_022114.4,MANE Select,ENST00000270722.10,63976
ARHGEF16,NM_014448.4,MANE Select,ENST00000378378.9,27237
MEGF6,NM_001409.4,MANE Select,ENST00000356575.9,1953
TPRG1L,NM_182752.4,MANE Select,ENST00000378344.7,127262
WRAP73,NM_017818.4,MANE Select,ENST00000270708.12,49856
